1. Are you a smart contract practitioner?,2.  What is your main role as a smart contract practitioner?,3. How many years of experience do you have in Solidity smart contract development/Testing/project management/research/others?,4. What country do you currently reside in?,"5. Which of the following Ethereum crypto APIs have you used? (Multiple Choice). In this survey, ""Ethereum crypto APIs"" refers to the crypto-related opcodes/precompiled contracts supported by Ethereum.",6. Which of the following cryptographic primitives in smart contracts are you familiar with?,7. Do you believe that accomplishing cryptographic tasks (such as signature verification) is more challenging than other common programming tasks in smart contracts?,"8.  Why do you think implementing cryptographic tasks is more challenging, or different from other common tasks in smart contracts?",9. Have you encountered the following obstacles while accomplishing cryptographic tasks?,10. How do you obtain required knowledge for cryptographic tasks in smart contracts? (Multiple Choice),"11. For cryptographic tasks that have available templates (for example, Signature have been implemented in  OpenZeppelin ECDSA and many other templates), do you prefer to use existing templates or implement them from scratch?","12. Are there any cryptographic tasks that you want to accomplish but currently lack available templates? If yes, please list them below. Otherwise, please skip this question.","13. Do you think current Ethereum crypto APIs are good enough to support all your cryptographic tasks, in terms of functionality and usability? Please rate them on a scale of 1-5. (1) Functionality of the APIs cover all functionalities I needed? (2) Usability: Are the APIs easy to understand & use, with easily accessable documentation? [Functionality]","13. Do you think current Ethereum crypto APIs are good enough to support all your cryptographic tasks, in terms of functionality and usability? Please rate them on a scale of 1-5. (1) Functionality of the APIs cover all functionalities I needed? (2) Usability: Are the APIs easy to understand & use, with easily accessable documentation? [Usability]","14.  Are there any cryptographic tasks that you wish to accomplish, but are currently unsupported by Ethereum's crypto APIs?  If yes, please list them below. Otherwise, please skip this question.",15. Do you think ensuring the security of cryptographic implementations is more challenging than securing other parts of a smart contract?,"16.  Why do you think securing cryptographic Implementations is more challenging, or different from other common programming tasks?",17. Which of the following crypto-related vulnerabilities in the Smart Contract Weakness Classification (SWC) list are you familiar with? (Multiple Choice),18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Solidity and Ethereum documentation],"18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Audited templates, e.g., Openzepplin's templates]",18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Testing tools],18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Security audit tools],"19. In addition to the four types of tools/resources mentioned in the previous question, are there any other types of support you desire? If yes, please list them below. Otherwise, please skip this question."
Yes,Development,5,Portugal,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.);Zero-knowledge Proof (including Plonk, etc.)",Yes (Go to Question 8),"Difficult to debug and ensure security, opaque nature of algorithms, if implementing algorithms then very difficult to reason about","Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs;Q&A sites, such as Stack Overflow;Technical books / papers",I usually use existing templates,,(Good),(Good),"Obvious one with other curves, pairings",Yes (Go to Question 16),"Impossible to verify, almost always probabilistic, no way to Testing",SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Good),(Bad),(Bad),"Expert auditing, fuzzing"
Yes,Development,2,Thailand,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),Cryptographic tasks are more challenging to implement in smart contracts due to their complexity and security implications,"Ethereum crypto API usage obstacles. For example, I encounter issues when trying to directly call the Ethereum precompiled contracts such as ecRecover.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Q&A sites, such as Stack Overflow","It depends on the complexity of the cryptographic task. For simple tasks, I use existing templates",,(Good),(Neutrality),,No (Go to Question 17),,SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121),(Neutrality),(Very Good),(Good),(Bad),
Yes,Development,2,USA,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),It's easier to make critical mistakes,"Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs;Technical books / papers",I usually use existing templates,ZK Primitives,(Very Good),(Good),,"They are basically the same, but lie in different aspects (Go to Question 16)",Issues won't be revealed by Testing,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121),(Good),(Very Good),(Neutrality),(Bad),
Yes,Development,2,Ukraine,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.);Zero-knowledge Proof (including Plonk, etc.)",Yes (Go to Question 8),"Development of Smart Contracts usually involves high-level languages such as Solidity or Vyper. Implementing cryptographic tasks requires a different stack of knowledge, such as understanding of calculus, bitwise operations and research.",,"Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs;Q&A sites, such as Stack Overflow;Technical books / papers",I usually use existing templates,,(Good),(Good),,"They are basically the same, but lie in different aspects (Go to Question 16)","Easy to get in a pitfall with bytes/bits around you, low-level programming and math knowledge is needed.",None of them,(Good),(Neutrality),(Good),(Good),Foundry Telegram Support Chat
Yes,Development,2,France,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),ECDSA is a pain to make it work,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Online tutorials/blogs","It depends on the complexity of the cryptographic task. For complex tasks, I use existing templates",,(Neutrality),(Neutrality),,No (Go to Question 17),,SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122),(Neutrality),(Neutrality),(Neutrality),(Neutrality),
Yes,Development,1,Egypt,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);ModExp (https://www.evm.codes/precompiled#0x05);ECADD (https://www.evm.codes/precompiled#0x06);ECMUL (https://www.evm.codes/precompiled#0x07);ECPairing (https://www.evm.codes/precompiled#0x08),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.);Zero-knowledge Proof (including Plonk, etc.)","They are basically the same, but lie in different aspects (Go to Question 8)","believe that signature verification and authorization is the most challenging and security important task in a SCW for example, but that depends on heavily on what is your contract doing","Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin",I usually use existing templates,"ZK Proofs, BLS Signatures (not complete libraries)",(Good),(Bad),,,,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Good),(Good),(Neutrality),(Bad),
Yes,Development,1,Egypt,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02);ECADD (https://www.evm.codes/precompiled#0x06);ECMUL (https://www.evm.codes/precompiled#0x07);ECPairing (https://www.evm.codes/precompiled#0x08),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",No (Go to Question 9),,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.;Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.;Ethereum crypto API usage obstacles. For example, I encounter issues when trying to directly call the Ethereum precompiled contracts such as ecRecover.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs;Q&A sites, such as Stack Overflow;Technical books / papers","It depends on the complexity of the cryptographic task. For simple tasks, I use existing templates",,(Good),(Good),,"They are basically the same, but lie in different aspects (Go to Question 16)",because it requires a different skillset,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121),(Neutrality),(Neutrality),(Neutrality),(Neutrality),
Yes,Security/Auditor,1,Pakistan,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),Not having good understanding of Cryptography,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Online tutorials/blogs;Q&A sites, such as Stack Overflow;Technical books / papers",I usually use existing templates,N/A,(Neutrality),(Neutrality),,Yes (Go to Question 16),Signature Malleability,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Good),(Neutrality),(Neutrality),(Neutrality),
Yes,Development,4,Canada,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),"This is because cryptography requires a strong understanding of advanced mathematical concepts such as public key cryptography, Signatures, and hash functions. Additionally, implementing these cryptographic tasks in a secure manner often requires careful consideration of potential attack vectors and vulnerabilities.","Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.;Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.","Documentations of the template provider, e.g., OpenZeppllin;Q&A sites, such as Stack Overflow",I usually implement cryptographic tasks from scratch.,,(Good),(Good),,No (Go to Question 17),,SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122),(Good),(Neutrality),(Good),(Good),
Yes,Development,3,USA,KECCAK256 / SHA3 (https://www.evm.codes/#20),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.);Zero-knowledge Proof (including Plonk, etc.)",Yes (Go to Question 8),would say it鈥檚 not intuitive. I use solidity and the syntax and steps required to do signature verification are long.,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.","Online tutorials/blogs;Q&A sites, such as Stack Overflow;Technical books / papers",I usually use existing templates,"None in the mind at the moment, but templates would be great!",(Neutrality),(Neutrality),,Yes (Go to Question 16),"Again, harder syntax and complex processes",SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122),(Bad),(Neutrality),(Neutrality),(Bad),
Yes,Development,1,Italy,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.);Zero-knowledge Proof (including Plonk, etc.)",No (Go to Question 9),,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs",I usually use existing templates,,(Neutrality),(Neutrality),,No (Go to Question 17),,SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Good),(Neutrality),(Bad),
